"FIRST_NAME","LAST_NAME","JOB_TITLE","SALARY"
"John","Singh","Sales Manager",14000
"Karen","Partners","Sales Manager",13500
"Alberto","Errazuriz","Sales Manager",12000
"Gerald","Cambrault","Sales Manager",11000
"Eleni","Zlotkey","Sales Manager",10500
"Winston","Taylor","Shipping Clerk",3200
"Jean","Fleaur","Shipping Clerk",3100
"Martha","Sullivan","Shipping Clerk",2500
"Girard","Geoni","Shipping Clerk",2800
"Nandita","Sarchand","Shipping Clerk",4200
"Alexis","Bull","Shipping Clerk",4100
"Julia","Dellinger","Shipping Clerk",3400
"Anthony","Cabrio","Shipping Clerk",3000
"Kelly","Chung","Shipping Clerk",3800
"Jennifer","Dilly","Shipping Clerk",3600
"Timothy","Venzl","Shipping Clerk",2900
"Randall","Perkins","Shipping Clerk",2500
"Sarah","Bell","Shipping Clerk",4000
"Britney","Everett","Shipping Clerk",3900
"Samuel","McLeod","Shipping Clerk",3200
"Vance","Jones","Shipping Clerk",2800
"Alana","Walsh","Shipping Clerk",3100
"Kevin","Feeney","Shipping Clerk",3000
"Donald","OConnell","Shipping Clerk",2600
"Douglas","Grant","Shipping Clerk",2600
