"FIRST_NAME","LAST_NAME","SALARY"
"TJ","Olson",2100
"Steven","Markle",2200
"Hazel","Philtanker",2200
"James","Landry",2400
"Ki","Gee",2400
"Karen","Colmenares",2500
"James","Marlow",2500
"Joshua","Patel",2500
"Peter","Vargas",2500
"Martha","Sullivan",2500
"Randall","Perkins",2500
"Guy","Himuro",2600
"Randall","Matos",2600
"Donald","OConnell",2600
"Douglas","Grant",2600
"Irene","Mikkilineni",2700
"John","Seo",2700
"Sigal","Tobias",2800
"Mozhe","Atkinson",2800
"Girard","Geoni",2800
"Vance","Jones",2800
"Shelli","Baida",2900
"Michael","Rogers",2900
"Timothy","Venzl",2900
"Anthony","Cabrio",3000
"Kevin","Feeney",3000
"Alexander","Khoo",3100
"Curtis","Davies",3100
"Jean","Fleaur",3100
"Alana","Walsh",3100
"Julia","Nayer",3200
"Stephen","Stiles",3200
"Winston","Taylor",3200
"Samuel","McLeod",3200
"Laura","Bissot",3300
"Jason","Mallin",3300
"Julia","Dellinger",3400
"Trenna","Rajs",3500
"Renske","Ladwig",3600
"Jennifer","Dilly",3600
"Kelly","Chung",3800
"Britney","Everett",3900
"Sarah","Bell",4000
"Alexis","Bull",4100
"Diana","Nguyen",4200
"Nandita","Sarchand",4200
"Jennifer","Whalen",4400
"David","Williams",4800
"Valli","Jackson",4800
"Kevin","Mourgos",5800
"Bruce","Miller",6000
"Pat","Davis",6000
"Sundita","Kumar",6100
"Amit","Banda",6200
"Charles","Johnson",6200
"Sundar","Ande",6400
"Shanta","Vollman",6500
"Susan","Jacobs",6500
"David","Lee",6800
"Luis","Popp",6900
"Oliver","Tuvault",7000
"Sarath","Sewall",7000
"Kimberely","Grant",7000
"Mattea","Marvins",7200
"Elizabeth","Bates",7300
"William","Smith",7400
"Nanette","Cambrault",7500
"Louise","Doran",7500
"Ismael","Sciarra",7700
"Jose Manuel","Urman",7800
"Payam","Kaufling",7900
"Matthew","Weiss",8000
"Christopher","Olsen",8000
"Lindsey","Smith",8000
"John","Chen",8200
"Adam","Fripp",8200
"William","Gietz",8300
"Jack","Livingston",8400
"Jonathon","Taylor",8600
"Alyssa","Hutton",8800
